Rank,Name,W2001,Citizenship,C2001,Age01,I01,,Rank,Name,W2002,Citizenship,C2002,Age02,I02,,Rank,Name,W2003,Citizenship,C2003,Age03,I03,,Rank,Name,W2004,Citizenship,C2004,Age04,I04,,Rank,Name,W2005,Citizenship,C2005,Age05,I05,,Rank,Name,W2006,Citizenship,C2006,Age06,I06,,Rank,Name,W2007,Citizenship,C2007,Age07,I07,,Rank,Name,W2008,Citizenship,C2008,Age08,I08,,Rank,Name,W2009,Citizenship,C2009,Age09,I09,,Rank,Name,W2010,Citizenship,C2010,Age10,I10,G10,,Rank,Name,W2011,Citizenship,C2011,Age11,I11,G11,,Rank,Name,W2012,Citizenship,C2012,Age12,I12,G12,,Rank,Name,W2013,Citizenship,C2013,Age13,I13,G13,,Rank,Name,W2014,Citizenship,C2014,Age14,I14,G14,,Rank,Name,W2015,Citizenship,C2015,Age15,I15,G15,,Rank,Name,W2016,Citizenship,C2016,Age16,I16,G16,,Rank,Name,W2017,Citizenship,C2017,Age17,I17,G17,,Rank,Name,W2018,Citizenship,C2018,Age18,I18,G18,,Rank,Name,W2019,Citizenship,C2019,Age19,I19,G19,,Rank,Name,W2020,Citizenship,C2020,Age20,I20,G20,,Rank,Name,W2021,Citizenship,C2021,Age21,I21,G21,,Rank,Name,W2022,Citizenship,C2022,Age22,I22,G22,,Rank,full_name,W2023,Citizenship,C2023,Age23,I23,G23
234,"Egan, Richard J.",20,United State,North America,34,Communication Services,,234,"Busujima, Kunio",18,Japan,Asia,-,Real Estate,,236,Richard Branson,17,United Kingdom,Europe,52,Consumer,,231,Bradley Hughes,23,United State,North America,70,Materials,,228,Ng Teng Fong,26,Singapore,Asia,76,Financials,,224,Anton Schlecker,30,Germany,Europe,61,Financials,,237,Vladimir Bogdanov,37,Russia,Europe,55,Consumer,,236,Harold Hamm,44,United State,North America,62,Energy,,234,Walter Haefner,27,Switzerland,Europe,98,Consumer,,237,Michael Herz,38,Germany,Europe,64,Consumer,Male,,235,Bruce Kovner,45,United State,North America,66,Consumer,Male,,232,Rosalia Mera,45,Spain,Europe,68,Real Estate,Female,,233,Tang Yiu & family,52,China,Asia,79,Industrials,Male,,234,James Irving,60,Canada,North America,85,Consumer,Male,,230,"Rupert Johnson, Jr.",62,United State,North America,73,Industrials,Male,,233,James Ratcliffe,55,United Kingdom,Europe,63,Industrials,Male,,237,Jorn Rausing,61,Sweden,Europe,57,Consumer,Male,,237,Leonid Fedun,69,Russia,Europe,61,Energy,Male,,233,Guo Guangchang,67,China,Asia,52,Financials,Male,,237,Alberto Bailleres Gonzalez & family,64,Mexico,North America,88,Materials,Male,,234,Friedhelm Loh,97,Germany,Europe,74,Industrials,Male,,235,Herbert Kohler Jr & family,88,United State,North America,83,Industrials,Male,,232,Manuel Villar,86,Philippines,Asia,73,Real Estate,Male
234,"Gaylord, Edward Lewis",20,United State,North America,82,Financials,,234,"Butt, Charles C",18,United State,North America,69,Financials,,236,ChengYu-tung,17,China,Asia,77,Financials,,231,Ray Hunt,23,United State,North America,61,Real Estate,,228,Ricardo Salinas Pliego & family,26,Mexico,North America,49,Real Estate,,224,Takemitsu Takizaki,30,Japan,Asia,60,Consumer,,237,Alexander Lebedev,37,Russia,Europe,47,Real Estate,,236,Eitaro Itoyama,44,Japan,Asia,65,Communication Services,,234,Otto Happel,27,Germany,Europe,61,Industrials,,237,Wolfgang Herz,38,Germany,Europe,59,HealthCare,Male,,235,Karl Wlaschek,45,Austria,Europe,93,Consumer,Male,,232,Xavier Niel,45,France,Europe,44,Financials,Male,,233,Dennis Washington,52,United State,North America,78,Consumer,Male,,234,Denis O'Brien,60,Ireland,Europe,55,Industrials,Male,,230,Michael Kadoorie,62,China,Asia,73,Industrials,Male,,233,Finn Rausing,55,Sweden,Europe,61,Consumer,Male,,237,Johann Rupert,61,South Africa,Africa,66,Consumer,Male,,237,Kim Jung-Ju,69,South Korea,Asia,50,Information Technology,Male,,233,Teh Hong Piow,67,Malaysia,Asia,88,Financials,Male,,237,Ian & Richard Livingstone,64,United Kingdom,Europe,-,Real Estate,Male,,234,Iskander Makhmudov,97,Russia,Europe,57,Materials,Male,,235,Zong Qinghou,88,China,Asia,76,HealthCare,Male,,232,Andreas von Bechtolsheim & family,86,Germany,Europe,67,Information Technology,Male
234,"Kellogg, Peter R.",20,United State,North America,-,Financials,,234,"Cadogan, Gerald",18,United Kingdom,Europe,54,Consumer,,236,Paul Desmarais & family,17,Canada,North America,76,Communication Services,,231,Peter Kellogg,23,United State,North America,61,Financials,,228,Yasumitsu Shigeta,26,Japan,Asia,40,Real Estate,,224,William Wrigley Jr,30,United State,North America,42,Consumer,,237,Luis Portillo,37,Spain,Europe,45,Consumer,,236,Indu Jain,44,India,Asia,71,Real Estate,,234,Savitri Jindal,27,India,Asia,59,Industrials,,237,Rupert Johnson Jr,38,United State,North America,68,HealthCare,Male,,235,Dennis Washington,45,United State,North America,76,Energy,Male,,232,Dorothea Steinbruch & family,45,Brazil,South America,-,Financials,Female,,239,Dannine Avara,51,United State,North America,49,Consumer,Female,,234,Ira Rennert,60,United State,North America,79,Financials,Male,,230,Kelcy Warren,62,United State,North America,59,Industrials,Male,,233,Kirsten Rausing,55,Sweden,Europe,63,Consumer,Female,,239,Marian Ilitch,60,United State,North America,84,Consumer,Female,,237,Sandra Ortega Mera,69,Spain,Europe,49,Consumer,Female,,239,Marc Benioff,66,United State,North America,54,Information Technology,Male,,237,Patrick Soon-Shiong,64,United State,North America,67,HealthCare,Male,,234,Stefano Pessina,97,Italy,Europe,79,Consumer,Male,,235,Kushal Pal Singh,88,India,Asia,90,Real Estate,Male,,239,"Chase Coleman, III.",85,United State,North America,47,Financials,Male
234,"Li, Richard",20,China,Asia,61,Consumer,,234,"Farmer, Richard T",18,United State,North America,48,Consumer,,236,Richard M DeVos,17,United State,North America,77,Consumer,,231,Ralph Lauren,23,United State,North America,65,Energy,,228,Takemitsu Takizaki,26,Japan,Asia,59,Information Technology,,240,David Filo,29,United State,North America,39,Consumer,,237,Leonard Stern,37,United State,North America,68,Energy,,236,Pauline MacMillan Keinath,44,United State,North America,76,Information Technology,,234,Lee Shin Cheng,27,Malaysia,Asia,69,Energy,,237,Paul Milstein & family,38,United State,North America,87,Consumer,Male,,235,Liu Yongxing,45,China,Asia,62,Industrials,Male,,232,Peter Woo & family,45,China,Asia,66,Consumer,Male,,239,Richard DeVos,51,United State,North America,87,Consumer,Male,,240,Leon Black,58,United State,North America,62,Industrials,Male,,240,Chan Laiwa,61,China,Asia,74,HealthCare,Female,,240,Bruce Halle,54,United State,North America,85,Consumer,Male,,239,Ann Walton Kroenke,60,United State,North America,68,Consumer,Female,,237,Jim Pattison,69,Canada,North America,89,Financials,Male,,239,Kei Hoi Pang,66,China,Asia,53,Real Estate,Male,,237,Wang Xing,64,China,Asia,41,Information Technology,Male,,234,Quek Leng Chan,97,Malaysia,Asia,79,Financials,Male,,235,Pauline MacMillan Keinath,88,United State,North America,88,Consumer,Male,,239,Ann Walton Kroenke,85,United State,North America,74,Consumer,Female
234,"Mann, Hugo & family",20,Germany,Europe,67,Information Technology,,234,"Gonda, Louis L",18,United State,North America,75,Financials,,236,Edward L Gaylord,17,United State,North America,83,Real Estate,,231,Pallonji Mistry,23,India,Asia,74,Consumer,,228,Donald Trump,26,United State,North America,59,Financials,,240,Michael Herz,29,Germany,Europe,60,Communication Services,,237,Joan Tisch,37,United State,North America,81,Communication Services,,236,Cargill MacMillan Jr,44,United State,North America,80,Consumer,,234,Frank Lowy & family,27,Australia,Australia,78,Consumer,,237,Gordon Moore,38,United State,North America,81,Financials,Male,,235,John Malone,45,United State,North America,70,Financials,Male,,232,Zhang Jindong,45,China,Asia,48,Real Estate,Male,,239,Scott Duncan,51,United State,North America,30,Information Technology,Male,,240,Gayle Cook,58,United State,North America,80,HealthCare,Female,,240,Terry Gou,61,China,Asia,64,Industrials,Male,,240,James Irving,54,Canada,North America,87,Financials,Male,,239,Jay Y. Lee,60,South Korea,Asia,48,Financials,Male,,237,Michael Platt,69,United Kingdom,Europe,49,Financials,Male,,239,Richard Kinder,66,United State,North America,74,Energy,Male,,241,Leonid Fedun & family,63,Russia,Europe,64,Energy,Male,,241,Israel Englander,96,United State,North America,72,Financials,Male,,241,Cai Kui,87,China,Asia,59,Real Estate,Male,,239,Li Zhenguo & family,85,China,Asia,55,Industrials,Male
234,"McGovern, Patrick Joseph",20,United State,North America,37,Consumer,,234,"Halim, Rachman & family",18,Indonesia,Asia,59,Financials,,233,Gnter Herz,17,Germany,Europe,62,Consumer,,231,Ng Teng Fong & family,23,Singapore,Asia,75,Consumer,,228,Jerry Yang,26,United State,North America,36,Consumer,,240,Leonard Lauder,29,United State,North America,73,Communication Services,,237,Tadashi Yanai & family,37,Japan,Asia,58,Real Estate,,236,John MacMillan III,44,United State,North America,80,Consumer,,234,Thomas Schmidheiny,27,Switzerland,Europe,63,Materials,,237,George Roberts,38,United State,North America,66,Real Estate,Male,,235,Erivan Haub & family,45,Germany,Europe,78,Communication Services,Male,,242,Americo Amorim,44,Portugal,Europe,77,Consumer,Male,,239,Milane Frantz,51,United State,North America,43,Industrials,Female,,240,Charles Schwab,58,United State,North America,76,Financials,Male,,240,Willi & Isolde Liebherr,61,Switzerland,Europe,-,Real Estate,,,240,Jason Jiang,54,China,Asia,43,Communication Services,Male,,239,Pan Zhengmin,60,China,Asia,47,Information Technology,Male,,242,Chan Laiwa,68,China,Asia,77,Real Estate,Female,,239,Iskander Makhmudov,66,Russia,Europe,55,Materials,Male,,241,David Green & family,63,United State,North America,78,Consumer,Male,,241,Charles Ergen,96,United State,North America,68,Communication Services,Male,,241,Charles Ergen,87,United State,North America,69,Communication Services,Male,,242,Jim Kennedy,84,United State,North America,75,Communication Services,Male
234,"Menard, John R. Jr.",20,United State,North America,38,Information Technology,,234,"Hall, Donald J",18,United State,North America,41,Materials,,236,H W Huizenga,17,United State,North America,65,Information Technology,,231,Madeleine Schickedanz,23,Germany,Europe,60,Financials,,243,Mohammed Al Amoudi,25,Saudi Arabia,Asia,59,Industrials,,240,Arnon Milchan,29,Israel,Asia,61,Consumer,,243,Pyotr Aven,36,Russia,Europe,52,Real Estate,,236,Whitney MacMillan,44,United State,North America,79,Consumer,,234,Henry Sy & family,27,Philippines,Asia,84,Consumer,,237,Bernard (Barry) Sherman,38,Canada,North America,68,Real Estate,Male,,235,Pyotr Aven,45,Russia,Europe,55,Communication Services,Male,,242,Filaret Galchev,44,Russia,Europe,48,Materials,Male,,239,Terry Gou,51,China,Asia,62,Industrials,Male,,240,Dennis Washington,58,United State,North America,79,Financials,Male,,240,Ira Rennert,61,United State,North America,80,Information Technology,Male,,240,Richard Kinder,54,United State,North America,71,Energy,Male,,239,Finn Rausing,60,Sweden,Europe,62,Consumer,Male,,242,David Green,68,United State,North America,76,Consumer,Male,,239,Pham Nhat Vuong,66,Vietnam,Asia,50,Financials,Male,,241,Kim Jung-ju,63,Korea,Asia,52,Information Technology,Male,,241,Jim Pattison,96,Canada,North America,92,Financials,Male,,241,Nicky Oppenheimer & family,87,South Africa,Africa,76,Energy,Male,,242,Nicky Oppenheimer & family,84,South Africa,Africa,77,Materials,Male
234,"Morgridge, John P.",20,United State,North America,58,Financials,,234,"Hernandez, Roberto",18,Mexico,North America,73,Consumer,,236,Steven P Jobs,17,United State,North America,48,Materials,,231,Tsai Wan Tsai & family,23,China,Asia,-,Consumer,,243,Gianluigi & Rafaela Aponte,25,Switzerland,Europe,-,HealthCare,,240,A Jerrold Perenchio,29,United State,North America,75,Information Technology,,243,Charles Cadogan & family,36,United Kingdom,Europe,70,Financials,,236,Marion MacMillan Pictet,44,United State,North America,76,Consumer,,234,Oprah Winfrey,27,United State,North America,55,Financials,,237,Andreas Strungmann,38,Germany,Europe,60,Financials,Male,,244,William Fung,44,China,Asia,63,Real Estate,Male,,242,Rupert Johnson Jr,44,United State,North America,70,Industrials,Male,,239,Karl-Heinz Kipp,51,Germany,Europe,89,Industrials,Male,,244,Isak Andic & family,57,Spain,Europe,60,Real Estate,Male,,240,Randa Williams,61,United State,North America,53,Financials,Female,,240,Juan Roig,54,Spain,Europe,66,Consumer,Male,,239,Kirsten Rausing,60,Sweden,Europe,64,Consumer,Female,,242,Hank & Doug Meijer,68,United State,North America,-,Consumer,Male,,244,Denise Coates,65,United Kingdom,Europe,51,Consumer,Female,,241,Sarath Ratanavadi,63,Thailand,Asia,54,Energy,Male,,241,Yao Liangsong,96,China,Asia,56,Industrials,Male,,241,Bernard Marcus,87,United State,North America,92,Consumer,Male,,242,Blair Parry-Okeden,84,United State,North America,72,Communication Services,Female
234,"Naify, Robert Allen",20,United State,North America,-,Communication Services,,234,"Hughes, Bradley W",18,United State,North America,53,Consumer,,236,Peter R Kellogg,17,United State,North America,60,Financials,,231,Jay Van Andel,23,United State,North America,79,Consumer,,243,John Dorrance III,25,Ireland,Europe,61,Financials,,245,Anil Agarwal,28,India,Asia,52,Consumer,,243,Bernard Ecclestone & family,36,United Kingdom,Europe,76,Communication Services,,236,John Sall,44,United State,North America,58,Energy,,234,Zhang Jindong,27,China,Asia,46,Communication Services,,237,Thomas Strungmann,38,Germany,Europe,60,Information Technology,Male,,244,Frank Lowy & family,44,Australia,Australia,80,Consumer,Male,,242,Frank Lowy & family,44,Australia,Australia,81,Communication Services,Male,,239,Finn Rausing,51,Sweden,Europe,58,Industrials,Male,,244,Jin Sook & Do Won Chang,57,United State,North America,59,Consumer,,,240,Hansjoerg Wyss,61,Switzerland,Europe,80,Industrials,Male,,240,Charles Schwab,54,United State,North America,78,Financials,Male,,239,Dennis Washington,60,United State,North America,82,Industrials,Male,,242,Dmitry Rybolovlev,68,Russia,Europe,51,Industrials,Male,,244,Kim Jung-ju,65,South Korea,Asia,51,Information Technology,Male,,241,Georg Schaeffler,63,Germany,Europe,55,Consumer,Male,,245,David Geffen,95,United State,North America,78,Communication Services,Male,,241,Gao Jifan & family,87,China,Asia,57,Materials,Male,,242,Zheng Shuliang & family,84,China,Asia,77,Materials,Female
234,"Sahenk, Ferit & family",20,Turkey,Asia,65,Information Technology,,234,"Huizenga, H W",18,United State,North America,85,HealthCare,,236,KwekLeng Beng,17,Singapore,Asia,62,Real Estate,,231,Nina Wang,23,China,Asia,-,Consumer,,243,Antonio Ermirio de Moraes & family,25,Brazil,South America,76,Consumer,,245,Alberto Bailleres,28,Mexico,North America,73,Real Estate,,243,George Lucas,36,United State,North America,62,Real Estate,,236,Peter Woo & family,44,China,Asia,62,Consumer,,246,Otto Beisheim,26,Germany,Europe,85,Financials,,237,Samuel Zell,38,United State,North America,68,Industrials,Male,,244,James Packer,44,Australia,Australia,43,Financials,Male,,242,Sumner Redstone,44,United State,North America,88,Financials,Male,,239,Kirsten Rausing,51,Sweden,Europe,60,Consumer,Female,,244,Hui Ka Yan,57,China,Asia,55,Real Estate,Male,,246,David Green,60,United State,North America,73,Consumer,Male,,240,Aloys Wobben,54,Germany,Europe,64,Energy,Male,,239,Xu Chuanhua,60,China,Asia,82,Industrials,Male,,242,Tsai Eng-Meng,68,China,Asia,61,Consumer,Male,,244,Robert Kraft,65,United State,North America,77,Communication Services,Male,,241,Andrei Skoch & family,63,Russia,Europe,54,Materials,Male,,245,Yeung Kin-man,95,China,Asia,57,Industrials,Male,,246,Ernest Garcia II,86,United State,North America,64,Financials,Male,,246,John Morris,83,United State,North America,75,Consumer,Male
234,"Sarofim, Fayez Shalaby",20,United State,North America,79,Financials,,234,"Jinnai, Ryoichi",18,Japan,Asia,63,Consumer,,236,Juan & Carlos March,17,Spain,Europe,-,Financials,,247,Giorgio Armani,22,Italy,Europe,69,Consumer,,243,Jeffrey Koo Jr,25,China,Asia,-,Consumer,,245,David & Frederick Barclay,28,United Kingdom,Europe,-,Consumer,,243,Gordon Moore,36,United State,North America,78,Energy,,247,Jeronimo Arango,43,Mexico,North America,82,Real Estate,,246,Paul Desmarais,26,Canada,North America,82,Financials,,247,Vladimir Kim,37,Kazakhstan,Asia,49,Materials,Male,,247,Aloysio de Andrade Faria,43,Brazil,South America,90,Consumer,Male,,242,Heinz Hermann Thiele & family,44,Germany,Europe,70,Financials,Male,,239,Randa Williams,51,United State,North America,51,Consumer,Female,,244,Hui Wing Mau,57,China,Asia,63,Communication Services,Male,,246,Augusto & Giorgio Perfetti,60,Italy,Europe,-,Consumer,Male,,240,Xu Chuanhua,54,China,Asia,81,Industrials,Male,,247,Francis Choi,59,China,Asia,69,Real Estate,Male,,242,Andreas von Bechtolsheim,68,Germany,Europe,62,Information Technology,Male,,244,Ann Walton Kroenke,65,United State,North America,70,Consumer,Female,,241,Harry Triguboff,63,Australia,Australia,87,Real Estate,Male,,247,Ding Shizhong & family,94,China,Asia,50,Consumer,Male,,246,Wang Liping & family,86,China,Asia,56,Consumer,Male,,246,Stefano Pessina,83,Monaco,Europe,81,Consumer,Male
234,"Thyssen-Bornemisza, Georg",20,Switzerland,Europe,63,Information Technology,,234,"Johnson, Charles B",18,United State,North America,64,Financials,,236,Clayton Lee Mathile,17,United State,North America,62,Financials,,247,Heinz Bauer,22,Germany,Europe,64,Communication Services,,243,Esther Koplowitz,25,Spain,Europe,54,Industrials,,245,Richard Branson,28,United Kingdom,Europe,55,Communication Services,,243,Stephan Schmidheiny,36,Switzerland,Europe,59,Information Technology,,247,Stein Erik Hagen & family,43,Norway,Europe,51,Consumer,,246,Barbara Piasecka Johnson,26,United State,North America,72,Consumer,,247,Hermann Schnabel,37,Germany,Europe,89,Real Estate,Male,,247,Michael & Rainer Schmidt-Ruthenbeck,43,Germany,Europe,-,HealthCare,Male,,248,Mike Adenuga,43,Nigeria,Africa,58,Financials,Male,,248,Isak Andic & family,50,Spain,Europe,59,Consumer,Male,,244,Patrick McGovern,57,United State,North America,76,Energy,Male,,248,Jin Sook & Do Won Chang,59,United State,North America,60,Information Technology,,,248,Vincent Bollore,53,France,Europe,63,Financials,Male,,247,Erivan Haub,59,Germany,Europe,84,Consumer,Male,,248,Oleg Deripaska,67,Russia,Europe,50,Materials,Male,,244,Frank Lowy,65,Australia,Australia,88,Real Estate,Male,,248,Marijke Mars,62,United State,North America,55,Consumer,Female,,247,Harold Hamm & family,94,United State,North America,75,Energy,Male,,246,George Soros,86,United State,North America,91,Industrials,Male,,246,Francine von Finck & family,83,Germany,Europe,-,Financials,Female
234,"Waitt, Theodore W.",20,United State,North America,72,Financials,,234,"Kim, James",18,United State,North America,56,Real Estate,,236,Rosalia Mera,17,Spain,Europe,59,Communication Services,,247,Richard Branson,22,United Kingdom,Europe,53,Communication Services,,243,Kjeld Kirk Kristiansen,25,Denmark,Europe,57,Consumer,,245,Charles Cadogan & family,28,United Kingdom,Europe,69,Communication Services,,249,Bjorgolfur Thor Bjorgolfsson,35,Iceland,Europe,40,Communication Services,,247,Mehmet Emin Karamehmet,43,Turkey,Asia,63,Consumer,,246,Ann Walton Kroenke,26,United State,North America,60,Consumer,,249,Pyotr Aven,36,Russia,Europe,55,Information Technology,Male,,247,Richard LeFrak & family,43,United State,North America,65,Consumer,Male,,248,Pyotr Aven,43,Russia,Europe,57,Information Technology,Male,,248,Maria Asuncion Aramburuzabala & family,50,Mexico,North America,49,Consumer,Female,,244,Sunil Mittal & family,57,India,Asia,56,Information Technology,Male,,248,Bruce Halle,59,United State,North America,84,Financials,Male,,248,Guenther Fielmann,53,Germany,Europe,76,HealthCare,Male,,247,Wei Jianjun,59,China,Asia,53,Consumer,Male,,248,Liu Yongxing,67,China,Asia,69,Consumer,Male,,244,Sunil Mittal & family,65,India,Asia,61,Information Technology,Male,,248,Pamela Mars,62,United State,North America,59,Consumer,Female,,247,Jim Kennedy,94,United State,North America,73,Communication Services,Male,,246,Bajaj brothers,86,India,Asia,-,Financials,Male,,249,Francis Choi,82,Hong Kong,Asia,75,Real Estate,Male
234,"Winnick, Gary",20,United State,North America,-,Financials,,234,"Melnyk, Eugene",18,Canada,North America,-,Consumer,,236,Kenneth Morrison & family,17,United Kingdom,Europe,71,Information Technology,,247,David Filo,22,United State,North America,37,Consumer,,243,Edward Lampert,25,United State,North America,42,Consumer,,245,Wolfgang Herz,28,Germany,Europe,55,Real Estate,,249,Richard DeVos,35,United State,North America,81,Consumer,,247,Joseph Lau,43,China,Asia,56,Communication Services,,246,German Larrea Mota Velasco & family,26,Mexico,North America,55,Consumer,,249,Otto Beisheim,36,Germany,Europe,86,Industrials,Male,,247,Charoen Sirivadhanabhakdi,43,Thailand,Asia,66,Energy,Male,,248,Paul Desmarais,43,Canada,North America,85,Information Technology,Male,,248,Philip & Cristina Green,50,United Kingdom,Europe,60,Real Estate,,,244,Idan Ofer,57,Israel,Asia,58,Consumer,Male,,248,Lu Zhiqiang,59,China,Asia,62,Financials,Male,,248,Ray Lee Hunt,53,United State,North America,73,Energy,Male,,250,Gautam Adani,58,India,Asia,54,Financials,Male,,248,Ludwig Merckle,67,Germany,Europe,53,Financials,Male,,244,Augusto & Giorgio Perfetti,65,Italy,Europe,-,Consumer,Male,,248,Valerie Mars,62,United State,North America,61,Consumer,Female,,247,Blair Parry-Okeden,94,United State,North America,70,Communication Services,Female,,246,Paul Xiaoming Lee & family,86,United State,North America,64,Industrials,Male,,249,German Khan,82,Russia,Europe,61,Energy,Male
